,budget,popularity,vote_count,top_cast_avg_rating,director_encoded,release_year,release_month,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,title,genres,director,top_cast,release_date,vote_average,revenue,budget_log,revenue_log,profit_ratio
2454,16500000,12.102725,199,6.219444444444444,2101,2003,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,House of Sand and Fog,['Drama'],Vadim Perelman,"['Jennifer Connelly', 'Ben Kingsley', 'Ron Eldard']",2003-12-19,7.0,16942795,16.61887099947687,16.6453532866971,0.026836060606060606
2455,16400000,55.458584,2705,6.141282051282051,1630,1989,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Dead Poets Society,['Drama'],Peter Weir,"['Robin Williams', 'Ethan Hawke', 'Robert Sean Leonard']",1989-06-02,8.1,235860116,16.612791953770035,19.278749462682956,13.381714390243902
2457,16000000,18.430419,950,6.023611111111111,1737,1989,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,When Harry Met Sally...,"['Comedy', 'Romance', 'Drama']",Rob Reiner,"['Meg Ryan', 'Billy Crystal', 'Carrie Fisher']",1989-07-21,7.3,92823546,16.588099342704055,18.346210904794216,4.801471625
2458,16000000,7.980632,131,6.271936339522531,1899,1982,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,The Verdict,['Drama'],Sidney Lumet,['Unknown'],1982-12-08,7.4,53977250,16.588099342704055,17.80407323798836,2.373578125
2459,16000000,14.759948,542,5.776666666666666,2042,2000,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Road Trip,"['Comedy', 'Adventure']",Todd Phillips,"['Breckin Meyer', 'Seann William Scott', 'Amy Smart']",2000-05-19,5.9,119754278,16.588099342704055,18.600952526393517,6.484642375
2460,0,9.229999,122,6.271936339522531,240,1999,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Varsity Blues,"['Comedy', 'Drama', 'Romance']",Brian Robbins,['Unknown'],1999-01-15,6.0,0,0.0,0.0,
2461,15000000,29.943316,1049,6.271936339522531,1429,2011,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,The Artist,"['Drama', 'Comedy', 'Romance']",Michel Hazanavicius,['Unknown'],2011-05-15,7.3,133432856,16.52356082573315,18.70910896546569,7.8955237333333335
2462,16000000,15.788784,365,5.8066666666666675,484,2009,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,The Unborn,"['Horror', 'Thriller', 'Mystery']",David S. Goyer,"['Odette Annable', 'Gary Oldman', 'Meagan Good']",2009-01-09,4.8,76514050,16.588099342704055,18.152984955133523,3.782128125
2463,16000000,41.083914,1662,6.706666666666666,2137,2012,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Moonrise Kingdom,"['Comedy', 'Drama', 'Romance']",Wes Anderson,"['Bruce Willis', 'Edward Norton', 'Jared Gilman']",2012-05-16,7.6,68263166,16.588099342704055,18.038880896499002,3.266447875
2464,16000000,21.380635,402,5.372222222222223,1061,2006,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,The Texas Chainsaw Massacre: The Beginning,['Horror'],Jonathan Liebesman,"['Jordana Brewster', 'Taylor Handley', 'Diora Baird']",2006-10-06,5.9,0,16.588099342704055,0.0,-1.0
2465,18500000,1.884558,30,6.271936339522531,380,2016,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,The Young Messiah,['Drama'],Cyrus Nowrasteh,['Unknown'],2016-03-10,6.4,6490401,16.733281344102608,15.685835028210363,-0.6491675135135135
2466,0,4.382761,78,4.6000000000000005,1594,2002,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,The Master of Disguise,"['Comedy', 'Family']",Perry Andelin Blake,"['Dana Carvey', 'Brent Spiner', 'Jennifer Esposito']",2002-08-02,3.7,0,0.0,0.0,
2467,19000000,90.809408,3041,7.599999999999999,730,2006,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,Pan's Labyrinth,"['Fantasy', 'Drama', 'War']",Guillermo del Toro,"['Ivana Baquero', 'Maribel Verdú', 'Sergi López']",2006-05-27,7.6,83258226,16.759949589762293,18.237457504764997,3.3820118947368423
2468,0,6.579017,44,4.772222222222222,1029,2001,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,See Spot Run,"['Action', 'Comedy', 'Family']",John Whitesell,"['Michael Clarke Duncan', 'David Arquette', 'Leslie Bibb']",2001-03-02,4.8,0,0.0,0.0,
2469,16000000,7.854989,55,6.271936339522531,1021,2001,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Baby Boy,"['Crime', 'Drama', 'Romance']",John Singleton,['Unknown'],2001-06-27,7.4,29381649,16.588099342704055,17.19588088778656,0.8363530625
2470,16000000,11.807269,224,5.306666666666667,323,2011,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,The Roommate,"['Thriller', 'Drama', 'Horror']",Christian E. Christiansen,"['Minka Kelly', 'Leighton Meester', 'Cam Gigandet']",2011-02-04,5.3,40492759,16.588099342704055,17.516633750664223,1.5307974375
2471,17700000,15.976335,242,6.271936339522531,510,2001,4,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,Joe Dirt,"['Mystery', 'Adventure', 'Comedy', 'Romance', 'Drama']",Dennie Gordon,['Unknown'],2001-04-10,5.5,30987695,16.68907525404123,17.24910078043668,0.7507172316384181
2472,15000000,10.484642,215,5.4875,1888,1991,8,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Double Impact,"['Thriller', 'Action', 'Crime', 'Drama']",Sheldon Lettich,"['Jean-Claude Van Damme', 'Geoffrey Lewis', 'Alonna Shaw']",1991-08-10,5.3,30102717,16.52356082573315,17.220126024645715,1.0068478
2473,12000000,38.623178,2199,6.271936339522531,562,2007,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hot Fuzz,"['Crime', 'Action', 'Comedy']",Edgar Wright,['Unknown'],2007-02-14,7.4,80573774,16.300417291085605,18.204683782323396,5.714481166666666
2474,16000000,8.8321,96,5.354761904761904,526,2008,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,The Women,"['Comedy', 'Drama', 'Romance']",Diane English,"['Cloris Leachman', 'India Ennenga', 'Annette Bening']",2008-09-12,4.6,50007546,16.588099342704055,17.727684492002126,2.125471625
2475,15000000,32.758254,1020,6.271936339522531,2163,2008,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Vicky Cristina Barcelona,"['Drama', 'Romance']",Woody Allen,['Unknown'],2008-08-15,6.7,96408652,16.52356082573315,18.384106516963246,5.427243466666667
2476,25000000,6.091033,76,6.441666666666667,1608,2007,12,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Arn: The Knight Templar,"['Action', 'Adventure', 'Drama', 'Romance']",Peter Flinth,"['Joakim Nätterqvist', 'Sofia Helin', 'Stellan Skarsgård']",2007-12-17,6.4,0,17.034386422832473,0.0,-1.0
2477,16000000,9.119797,103,6.271936339522531,1752,2000,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Boys and Girls,"['Comedy', 'Drama', 'Romance']",Robert Iscove,['Unknown'],2000-06-16,5.4,20627372,16.588099342704055,16.842129538112207,0.28921075
2478,0,9.423866,108,6.271936339522531,1616,2002,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,White Oleander,['Drama'],Peter Kosminsky,['Unknown'],2002-10-11,7.2,0,0.0,0.0,
2479,16000000,32.257414,837,5.683333333333334,1126,2009,9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Jennifer's Body,"['Comedy', 'Horror']",Karyn Kusama,"['Megan Fox', 'Amanda Seyfried', 'Johnny Simmons']",2009-09-18,5.3,31556061,16.588099342704055,17.267276267956248,0.9722538125
2480,16000000,3.021835,43,6.271936339522531,1512,2000,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Drowning Mona,"['Comedy', 'Crime', 'Mystery']",Nick Gomez,['Unknown'],2000-03-03,5.4,15427192,16.588099342704055,16.5516422894493,-0.0358005
2481,16000000,7.612849,127,6.271936339522531,2163,1987,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Radio Days,"['Comedy', 'Drama']",Woody Allen,['Unknown'],1987-01-30,7.0,0,16.588099342704055,0.0,-1.0
2482,20000000,36.764666,948,6.648717948717949,60,2010,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Remember Me,"['Drama', 'Romance']",Allen Coulter,"['Robert Pattinson', 'Emilie de Ravin', 'Pierce Brosnan']",2010-03-12,6.9,0,16.811242881518265,0.0,-1.0
2484,20000000,9.455596,131,6.139285714285713,1692,1988,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,My Stepmother is an Alien,"['Comedy', 'Science Fiction']",Richard Benjamin,"['Dan Aykroyd', 'Kim Basinger', 'Jon Lovitz']",1988-12-09,5.3,13854000,16.811242881518265,16.444084629746005,-0.3073
2486,16000000,19.890428,378,6.271936339522531,1075,1999,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,The Thirteenth Floor,"['Thriller', 'Science Fiction', 'Mystery']",Josef Rusnak,['Unknown'],1999-04-16,6.8,18564088,16.588099342704055,16.736739573557095,0.1602555
2487,16000000,0.830596,10,4.6,1200,2004,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,The Cookout,"['Comedy', 'Drama']",Lance Rivera,"['Ja Rule', 'Tim Meadows', 'Jenifer Lewis']",2004-09-03,4.6,12,16.588099342704055,2.5649493574615367,-0.99999925
2488,0,2.637355,36,5.52,1800,1979,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Meteor,"['Action', 'Science Fiction', 'Thriller']",Ronald Neame,"['Sean Connery', 'Natalie Wood', 'Karl Malden']",1979-10-19,5.1,0,0.0,0.0,
2489,0,2.25453,34,5.896825396825396,253,2000,9,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Duets,"['Comedy', 'Drama', 'Music']",Bruce Paltrow,"['Gwyneth Paltrow', 'Scott Speedman', 'Maria Bello']",2000-09-09,5.5,0,0.0,0.0,
2490,16000000,8.711782,113,6.216666666666666,2163,2002,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Hollywood Ending,"['Comedy', 'Drama']",Woody Allen,"['Woody Allen', 'George Hamilton', 'Téa Leoni']",2002-05-03,6.4,0,16.588099342704055,0.0,-1.0
2491,6500000,5.700333,100,6.271936339522531,11,1999,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Detroit Rock City,"['Comedy', 'Music']",Adam Rifkin,['Unknown'],1999-08-13,6.7,4217115,15.687312888712007,15.254662040057267,-0.3512130769230769
2492,16000000,29.253833,624,6.271936339522531,1816,1986,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Highlander,"['Adventure', 'Action', 'Fantasy']",Russell Mulcahy,['Unknown'],1986-03-07,6.8,5900000,16.588099342704055,15.59046307836746,-0.63125
2493,16000000,8.842869,90,6.135555555555555,1978,2007,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Things We Lost in the Fire,['Drama'],Susanne Bier,"['Halle Berry', 'Benicio del Toro', 'David Duchovny']",2007-09-26,6.7,2849142,16.588099342704055,14.862528805270609,-0.821928625
2494,16000000,2.848727,48,6.271936339522531,1147,1997,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Steel,"['Science Fiction', 'Action', 'Adventure']",Kenneth Johnson,['Unknown'],1997-08-15,4.3,1686429,16.588099342704055,14.338124426544764,-0.8945981875
2495,16000000,13.832464,250,6.271936339522531,834,2013,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,The Immigrant,"['Drama', 'Romance']",James Gray,['Unknown'],2013-07-03,6.2,5867686,16.588099342704055,15.584971076672407,-0.633269625
2496,0,4.488547,21,6.604166666666667,837,2005,10,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,The White Countess,"['Drama', 'History', 'Family', 'Romance']",James Ivory,"['Ralph Fiennes', 'Natasha Richardson', 'Hiroyuki Sanada']",2005-10-30,6.9,0,0.0,0.0,
2497,20000000,38.802415,956,6.433333333333333,417,2013,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,Trance,"['Thriller', 'Crime', 'Drama', 'Mystery']",Danny Boyle,"['James McAvoy', 'Vincent Cassel', 'Rosario Dawson']",2013-03-27,6.5,24261569,16.811242881518265,17.00440417496742,0.21307845
2498,16000000,9.400404,108,6.271936339522531,923,2004,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Soul Plane,"['Romance', 'Comedy']",Jessy Terrero,['Unknown'],2004-05-28,4.7,14822346,16.588099342704055,16.511646532365,-0.073603375
2499,11000000,18.923181,615,6.271936339522531,425,2008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Welcome to the Sticks,['Comedy'],Dany Boon,['Unknown'],2008-01-09,6.8,53191886,16.213405921671733,17.789416442682565,3.835626
2500,0,2.397987,29,6.155555555555555,2107,2008,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Good,['Drama'],Vicente Amorim,"['Viggo Mortensen', 'Jason Isaacs', 'Mark Strong']",2008-12-11,6.3,0,0.0,0.0,
2501,13000000,20.39955,387,6.816666666666666,671,2009,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Enter the Void,"['Fantasy', 'Drama']",Gaspar Noé,"['Nathaniel Brown', 'Paz de la Huerta', 'Cyril Roy']",2009-05-05,7.2,754249,16.380459992348886,13.533479157021308,-0.9419808461538461
2502,16000000,7.251897,91,5.5,66,2012,8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Vamps,"['Comedy', 'Romance', 'Horror']",Amy Heckerling,"['Alicia Silverstone', 'Krysten Ritter', 'Sigourney Weaver']",2012-08-25,4.8,0,16.588099342704055,0.0,-1.0
2503,16000000,43.217089,1717,6.60952380952381,1205,2009,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Hachi: A Dog's Tale,"['Drama', 'Family']",Lasse Hallström,"['Richard Gere', 'Joan Allen', 'Jason Alexander']",2009-06-13,7.7,47801389,16.588099342704055,17.682565276536792,1.9875868125
2504,16000000,14.529496,172,6.4185185185185185,1117,2013,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Zulu,"['Crime', 'Drama', 'Thriller']",Jérôme Salle,"['Orlando Bloom', 'Forest Whitaker', 'Conrad Kemp']",2013-12-04,6.7,0,16.588099342704055,0.0,-1.0
2505,16000000,20.59148,258,6.264444444444446,2068,2014,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,The Homesman,"['Western', 'Drama']",Tommy Lee Jones,"['Hilary Swank', 'Tommy Lee Jones', 'Grace Gummer']",2014-05-18,6.4,3442853,16.588099342704055,15.051811336542082,-0.7848216875
2506,15600000,2.244947,20,6.271936339522531,920,2002,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Juwanna Mann,"['Comedy', 'Drama']",Jesse Vaughan,['Unknown'],2002-06-21,4.2,0,16.562781536322326,0.0,-1.0
2507,0,1.326264,16,6.271936339522531,134,2002,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Ararat,"['War', 'Drama']",Atom Egoyan,['Unknown'],2002-05-20,5.7,0,0.0,0.0,
2508,0,0.212108,3,5.736111111111111,2147,2001,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Madison,"['Action', 'Adventure', 'Drama']",William Bindley,"['Jim Caviezel', 'Jake Lloyd', 'Mary McCormack']",2001-01-23,5.3,0,0.0,0.0,
2509,15500000,6.630856,16,5.8,2133,2005,9,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,Slow Burn,"['Mystery', 'Crime', 'Drama', 'Thriller']",Wayne Beach,"['Ray Liotta', 'LL Cool J', 'Mekhi Phifer']",2005-09-12,5.5,1237615,16.5563506464056,14.028697506405647,-0.9201538709677419
2510,15300000,18.20957,283,6.271936339522531,737,2001,10,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Wasabi,"['Drama', 'Action', 'Comedy']",Gérard Krawczyk,['Unknown'],2001-10-31,6.2,0,16.54336345172214,0.0,-1.0
2511,15500000,17.327279,317,6.231111111111111,835,2006,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Slither,"['Comedy', 'Horror', 'Science Fiction']",James Gunn,"['Nathan Fillion', 'Don Thompson', 'Elizabeth Banks']",2006-03-31,6.3,0,16.5563506464056,0.0,-1.0
2512,15000000,29.843818,961,6.271936339522531,1325,1984,11,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beverly Hills Cop,"['Action', 'Comedy', 'Crime']",Martin Brest,['Unknown'],1984-11-29,6.8,316360478,16.52356082573315,19.572392877712208,20.090698533333335
2513,18000000,2.186927,2414,6.271936339522531,301,1990,11,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Home Alone,"['Comedy', 'Family']",Chris Columbus,['Unknown'],1990-11-09,7.1,476684675,16.705882371415992,19.982365773654585,25.482481944444444
2514,0,12.335827,253,6.0,1224,1987,11,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Three Men and a Baby,"['Family', 'Comedy', 'Drama']",Leonard Nimoy,"['Tom Selleck', 'Steve Guttenberg', 'Ted Danson']",1987-11-27,5.8,0,0.0,0.0,
2515,21000000,20.818567,421,6.7700000000000005,1980,1982,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Tootsie,"['Comedy', 'Romance']",Sydney Pollack,"['Dustin Hoffman', 'Jessica Lange', 'Teri Garr']",1982-12-16,6.9,177200000,16.860033043306743,18.992789601778597,7.438095238095238
2517,17000000,45.742254,927,6.271936339522531,103,2000,10,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"Crouching Tiger, Hidden Dragon","['Adventure', 'Drama', 'Action', 'Romance']",Ang Lee,['Unknown'],2000-10-01,7.2,213525736,16.648723960844016,19.179267931376994,11.560337411764706
2519,15000000,54.053576,2752,6.271936339522531,2053,2010,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,The King's Speech,"['Drama', 'History']",Tom Hooper,['Unknown'],2010-09-06,7.6,414211549,16.52356082573315,19.84188739161665,26.614103266666667
2520,15000000,17.638286,559,6.271936339522531,795,1988,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Twins,['Comedy'],Ivan Reitman,['Unknown'],1988-12-09,5.7,216614388,16.52356082573315,19.193629321534313,13.4409592
2521,15000000,3.803495,52,6.25,2097,2008,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,The Yellow Handkerchief,"['Drama', 'Romance']",Udayan Prasad,"['William Hurt', 'Maria Bello', 'Kristen Stewart']",2008-12-17,6.4,317000,16.52356082573315,12.666660207428574,-0.9788666666666667
2522,15000000,17.571533,338,6.67962962962963,1965,1985,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,The Color Purple,['Drama'],Steven Spielberg,"['Whoopi Goldberg', 'Margaret Avery', 'Danny Glover']",1985-12-18,7.7,146292009,16.52356082573315,18.80111525069172,8.7528006
2523,16000000,4.628525,48,6.271936339522531,2168,2009,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Tidal Wave,"['Action', 'Adventure', 'Drama', 'Thriller']",Yoon Je-kyoon,['Unknown'],2009-06-06,6.5,11301649,16.588099342704055,16.240459290722136,-0.2936469375
2524,14000000,145.364591,5723,6.271936339522531,1475,2014,11,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,The Imitation Game,"['History', 'Drama', 'Thriller', 'War']",Morten Tyldum,['Unknown'],2014-11-14,8.0,233555708,16.454567959008102,19.268931189058076,15.682550571428571
2525,0,12.18838,102,5.416666666666667,773,1980,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private Benjamin,['Comedy'],Howard Zieff,"['Goldie Hawn', 'Eileen Brennan', 'Armand Assante']",1980-10-06,6.0,0,0.0,0.0,
2526,15000000,3.826685,67,6.271936339522531,1377,1980,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Coal Miner's Daughter,"['Drama', 'Music']",Michael Apted,['Unknown'],1980-03-07,7.2,67182787,16.52356082573315,18.02292764173386,3.4788524666666665
2527,15000000,21.095489,355,6.271936339522531,2017,2010,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Diary of a Wimpy Kid,"['Comedy', 'Family']",Thor Freudenthal,['Unknown'],2010-03-19,5.9,75700498,16.52356082573315,18.142295310195728,4.046699866666667
2528,15000000,47.455148,1401,6.508333333333333,101,2013,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Mama,['Horror'],Andy Muschietti,"['Jessica Chastain', 'Nikolaj Coster-Waldau', 'Megan Charpentier']",2013-01-17,6.0,146497771,16.52356082573315,18.802520778114623,8.766518066666666
2529,15000000,22.838834,410,6.271936339522531,751,1983,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,National Lampoon's Vacation,"['Comedy', 'Adventure', 'Romance']",Harold Ramis,['Unknown'],1983-07-28,7.1,61399552,16.52356082573315,17.932913112960577,3.093303466666667
2530,15000000,27.165222,680,5.958333333333333,900,2013,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bad Grandpa,['Comedy'],Jeff Tremaine,"['Johnny Knoxville', 'Jackson Nicoll', 'Georgina Cates']",2013-10-22,6.0,151831537,16.52356082573315,18.838282161557444,9.122102466666666
2531,15000000,19.113278,338,6.271936339522531,1927,2006,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,The Queen,['Drama'],Stephen Frears,['Unknown'],2006-09-15,6.8,123384128,16.52356082573315,18.630813046901476,7.225608533333333
2533,15000000,2.005111,33,6.252777777777777,2095,2007,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Why Did I Get Married?,"['Comedy', 'Drama']",Tyler Perry,"['Tyler Perry', 'Jill Scott', 'Janet Jackson']",2007-10-12,6.1,55184721,16.52356082573315,17.826196697575636,2.6789814
2535,17000000,43.675191,1206,6.026666666666666,849,2012,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,The Woman in Black,"['Drama', 'Horror', 'Thriller']",James Watkins,"['Daniel Radcliffe', 'Ciarán Hinds', 'Sidney Johnston']",2012-02-01,6.1,127730736,16.648723960844016,18.665434988985872,6.513572705882353
2536,15000000,4.688212,268,6.271936339522531,1904,2006,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,When a Stranger Calls,"['Horror', 'Thriller']",Simon West,['Unknown'],2006-02-03,5.4,66966987,16.52356082573315,18.01971033951271,3.4644658
2537,15000000,9.125594,197,6.001111111111111,1886,2002,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Big Fat Liar,"['Comedy', 'Family']",Shawn Levy,"['Frankie Muniz', 'Paul Giamatti', 'Amanda Bynes']",2002-02-08,5.6,52970014,16.52356082573315,17.78523655669983,2.5313342666666667
2539,15000000,13.581966,270,6.140833333333333,146,1997,12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Wag the Dog,"['Comedy', 'Drama']",Barry Levinson,"['Dustin Hoffman', 'Robert De Niro', 'Anne Heche']",1997-12-25,6.7,64256513,16.52356082573315,17.97839366181448,3.283767533333333
2540,17000000,11.927667,280,5.611111111111111,929,2003,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,The Lizzie McGuire Movie,"['Family', 'Comedy']",Jim Fall,"['Hilary Duff', 'Adam Lamberg', 'Hallie Todd']",2003-04-25,5.7,55534455,16.648723960844016,17.832514214911,2.2667326470588236
2541,35000000,30.556135,1138,5.802777777777778,1686,2013,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Snitch,"['Thriller', 'Drama']",Ric Roman Waugh,"['Dwayne Johnson', 'Barry Pepper', 'Jon Bernthal']",2013-02-21,5.8,42930462,17.370858648025116,17.57509222514142,0.22658462857142858
2543,15000000,21.535126,492,6.271936339522531,1762,1998,12,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,The Faculty,"['Horror', 'Mystery', 'Science Fiction']",Robert Rodriguez,['Unknown'],1998-12-25,6.2,40283321,16.52356082573315,17.511448095105113,1.6855547333333334
2544,0,7.921311,72,6.271936339522531,233,1993,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,What's Love Got to Do with It,"['Drama', 'Music']",Brian Gibson,['Unknown'],1993-06-09,6.9,0,0.0,0.0,
2545,15000000,19.284129,382,6.271936339522531,840,1997,8,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Cop Land,"['Action', 'Crime', 'Drama']",James Mangold,['Unknown'],1997-08-15,6.6,44862187,16.52356082573315,17.619105859830366,1.9908124666666667
2546,16000000,23.423082,431,6.271936339522531,964,2001,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Another Teen Movie,['Comedy'],Joel Gallen,['Unknown'],2001-12-07,5.5,66468332,16.588099342704055,18.01223619672028,3.15427075
2547,7000000,49.517264,1170,6.6492424242424235,443,2012,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,End of Watch,"['Crime', 'Drama', 'Thriller']",David Ayer,"['Jake Gyllenhaal', 'Michael Peña', 'Natalie Martinez']",2012-09-20,7.2,48126384,15.76142084987672,17.68934112937889,5.875197714285714
2548,15000000,11.375032,156,5.616666666666667,1729,2000,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,The Skulls,"['Crime', 'Drama', 'Thriller']",Rob Cohen,"['Joshua Jackson', 'Paul Walker', 'Hill Harper']",2000-03-31,5.8,35007180,16.52356082573315,17.37106376983748,1.333812
2550,0,7.314796,77,6.271936339522531,1029,2003,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malibu's Most Wanted,"['Comedy', 'Crime']",John Whitesell,['Unknown'],2003-04-10,4.7,0,0.0,0.0,
